index,type,title,release_year,is_topTitle
0,SHOW,Five Came Back: The Reference Films,1945,False
1,MOVIE,Taxi Driver,1976,True
2,MOVIE,Monty Python and the Holy Grail,1975,True
3,MOVIE,Life of Brian,1979,True
4,MOVIE,The Exorcist,1973,True
5,SHOW,Monty Python's Flying Circus,1969,True
6,MOVIE,Dirty Harry,1971,True
7,MOVIE,My Fair Lady,1964,True
8,MOVIE,The Blue Lagoon,1980,False
9,MOVIE,Bonnie and Clyde,1967,True
10,MOVIE,The Professionals,1966,True
11,MOVIE,The Guns of Navarone,1961,True
12,MOVIE,Lupin the Third: The Castle of Cagliostro,1979,True
13,MOVIE,Richard Pryor: Live in Concert,1979,False
14,MOVIE,The Long Riders,1980,True
15,MOVIE,White Christmas,1954,True
16,MOVIE,Cairo Station,1958,False
17,MOVIE,The Queen,1968,False
18,MOVIE,Hitler: A Career,1977,False
19,MOVIE,FTA,1972,False
20,MOVIE,Saladin the Victorious,1963,False
21,MOVIE,Singapore,1960,False
22,MOVIE,Dark Waters,1956,False
23,MOVIE,Alexandria… Why?,1979,False
24,MOVIE,Raya and Sakina,1953,False
25,MOVIE,No Longer Kids,1979,False
26,MOVIE,Amrapali,1966,False
27,MOVIE,Dostana,1980,False
28,MOVIE,The Blazing Sun,1954,False
29,SHOW,Monty Python's Fliegender Zirkus,1972,False
30,MOVIE,The Return of the Prodigal Son,1976,False
31,MOVIE,Prince,1969,False
32,MOVIE,Lock Your Girls In,1980,False
33,MOVIE,The Witness Who Didn't See Anything,1976,False
34,MOVIE,The School of Mischief,1973,False
35,MOVIE,Manoranjan,1974,False
36,MOVIE,"Beirut, Oh Beirut",1975,False
37,MOVIE,We Are All for the Fatherland,1979,False
38,MOVIE,Whispers,1980,False
39,MOVIE,Lal Patthar,1971,False
40,MOVIE,Ujala,1959,False
41,MOVIE,Alibaba Aur 40 Chor,1979,False
42,MOVIE,Professor,1962,False
43,MOVIE,Chadi Jawani Budhe Nu,1976,False
44,MOVIE,Bandie,1978,False
45,MOVIE,Khoon Khoon,1973,False
46,MOVIE,Top Gun,1986,True
47,SHOW,Seinfeld,1989,True
48,MOVIE,Stand by Me,1986,True
49,MOVIE,Once Upon a Time in America,1984,True
50,MOVIE,When Harry Met Sally...,1989,True
51,MOVIE,Teenage Mutant Ninja Turtles,1990,False
52,MOVIE,Full Metal Jacket,1987,True
53,MOVIE,Christine,1983,False
54,MOVIE,A Nightmare on Elm Street,1984,True
55,SHOW,Knight Rider,1982,False
56,MOVIE,Awakenings,1990,True
57,SHOW,Thomas & Friends,1984,False
58,MOVIE,Annie,1982,False
59,MOVIE,Pet Sematary,1989,False
60,SHOW,Saved by the Bell,1989,False
61,MOVIE,She's Gotta Have It,1986,False
62,MOVIE,Eddie Murphy Raw,1987,True
63,MOVIE,Endless Love,1981,False
64,SHOW,Wheel of Fortune,1983,False
65,SHOW,Major Dad,1989,False
66,SHOW,Fireman Sam,1987,False
67,SHOW,Danger Mouse,1981,False
68,MOVIE,Mobile Suit Gundam II: Soldiers of Sorrow,1981,False
69,MOVIE,Mobile Suit Gundam: Char's Counterattack,1988,False
70,MOVIE,Sam Kinison: Breaking the Rules,1987,False
71,MOVIE,Tim Allen: Men Are Pigs,1990,False
72,MOVIE,Monty Python Live at the Hollywood Bowl,1982,True
73,MOVIE,The George McKenna Story,1988,False
74,MOVIE,Unspeakable Acts,1990,False
75,MOVIE,Waiting for the Hearse,1985,False
76,MOVIE,Mobile Suit Gundam III: Encounters in Space,1982,False
77,MOVIE,Agneepath,1990,False
78,MOVIE,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,False
79,MOVIE,Too Young The Hero,1988,False
80,MOVIE,Adam: His Song Continues,1986,False
81,MOVIE,Disco Dancer,1982,False
82,MOVIE,The Ryan White Story,1989,False
83,MOVIE,In Defense of a Married Man,1990,False
84,MOVIE,Dil,1990,False
85,MOVIE,Bye Bye London,1982,False
86,MOVIE,Quiet Victory: The Charlie Wedemeyer Story,1988,False
87,MOVIE,"Alexandria, Again and Forever",1989,False
88,MOVIE,Strange Voices,1987,False
89,MOVIE,Aakhri Adaalat,1988,False
90,MOVIE,A Stoning in Fulham County,1988,False
91,MOVIE,The Married Couples,1981,False
92,MOVIE,Sayed The Servant,1985,False
93,MOVIE,Muqaddar Ka Faisla,1987,False
94,MOVIE,Sohni Mahiwal,1984,False
95,MOVIE,The Little Wars,1982,False
96,MOVIE,Bill Hicks: Sane Man,1989,False
97,MOVIE,Duniya,1984,False
98,SHOW,High Risk,1988,False
99,MOVIE,Pyar Ke Do Pal,1986,False
100,MOVIE,Jaal,1986,False
101,MOVIE,Mujrim,1989,False
102,MOVIE,An Egyptian Story,1982,False
103,MOVIE,Ek Jaan Hain Hum,1983,False
104,MOVIE,The Quick and the Dead,1995,False
105,SHOW,Survivor,2000,False
106,SHOW,Stargate SG-1,1997,True
107,SHOW,Pokémon,1997,False
108,MOVIE,Forrest Gump,1994,True
109,MOVIE,Happy Gilmore,1996,True
110,SHOW,One Piece,1999,True
111,MOVIE,Saving Private Ryan,1998,True
112,SHOW,Cowboy Bebop,1998,True
113,SHOW,Star Trek: Deep Space Nine,1993,True
114,SHOW,The Challenge,1998,False
115,MOVIE,Gattaca,1997,True
116,SHOW,Gilmore Girls,2000,True
117,MOVIE,Blade,1998,True
118,MOVIE,You've Got Mail,1998,False
119,MOVIE,Starship Troopers,1997,True
120,SHOW,Neon Genesis Evangelion,1995,True
121,SHOW,The Magic School Bus,1994,False
122,MOVIE,Donnie Brasco,1997,True
123,SHOW,Power Rangers,1993,False
124,MOVIE,U.S. Marshals,1998,False
125,SHOW,Adventures of Sonic the Hedgehog,1993,False
126,MOVIE,Wild Things,1998,False
127,MOVIE,Last Action Hero,1993,False
128,MOVIE,Seven Years in Tibet,1997,True
129,MOVIE,The Devil's Advocate,1997,True
130,MOVIE,A River Runs Through It,1992,True
131,MOVIE,"Girl, Interrupted",1999,True
132,SHOW,Goosebumps,1995,True
133,SHOW,Yu-Gi-Oh!,1998,False
134,SHOW,InuYasha,2000,True
135,MOVIE,Any Given Sunday,1999,True
136,MOVIE,Menace II Society,1993,True
137,MOVIE,Desperado,1995,True
138,MOVIE,The Mask of Zorro,1998,False
139,MOVIE,The Patriot,2000,True
140,MOVIE,Road Trip,2000,False
141,MOVIE,Free Willy,1993,False
142,SHOW,My First Errand,1991,False
143,MOVIE,3 Ninjas Kick Back,1994,False
144,MOVIE,In the Line of Fire,1993,True
145,MOVIE,The Replacements,2000,False
146,MOVIE,Johnny Mnemonic,1995,False
147,MOVIE,Little Women,1994,True
148,MOVIE,Anaconda,1997,False
149,MOVIE,My Girl,1991,True
150,MOVIE,Cliffhanger,1993,False
151,MOVIE,I Know What You Did Last Summer,1997,False
152,MOVIE,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,False
153,SHOW,Barney & Friends,1992,False
154,MOVIE,Hollow Man,2000,False
155,MOVIE,Godzilla,1998,False
156,MOVIE,Neon Genesis Evangelion: The End of Evangelion,1997,True
157,MOVIE,Spawn,1997,False
158,MOVIE,Dennis the Menace,1993,False
159,MOVIE,The Net,1995,False
160,MOVIE,The Devil's Own,1997,False
161,MOVIE,Croupier,1998,True
162,MOVIE,Teenage Mutant Ninja Turtles III,1993,False
163,MOVIE,The General's Daughter,1999,False
164,MOVIE,The Next Karate Kid,1994,False
165,MOVIE,I Still Know What You Did Last Summer,1998,False
166,MOVIE,Double Team,1997,False
167,MOVIE,Under Suspicion,2000,False
168,SHOW,Moesha,1996,False
169,SHOW,"Sister, Sister",1994,False
170,SHOW,Cardcaptor Sakura,1998,False
171,MOVIE,Geronimo: An American Legend,1993,False
172,MOVIE,The Mirror Has Two Faces,1996,False
173,SHOW,Girlfriends,2000,False
174,MOVIE,Bill Hicks: One Night Stand,1991,False
175,MOVIE,Knight Rider 2000,1991,False
176,MOVIE,The Last Days,1998,False
177,SHOW,The Parkers,1999,False
